"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"3/25/2025","3/25/2025","3/26/2025","GOOGL","Alphabet Class A
CUSIP: 02079K305","Sell","6","$169.34","$1,016.04"
"3/25/2025","3/25/2025","3/26/2025","GOOGL","Alphabet Class A
CUSIP: 02079K305","Sell","0.083867","$169.34","$14.20"
"3/21/2025","3/21/2025","3/24/2025","NVDA","NVDA 3/28/2025 Put $108.00","BTC","1","$0.32","($32.04)"
"3/21/2025","3/21/2025","3/24/2025","NVDA","NVDA 4/4/2025 Put $109.00","STO","1","$1.12","$111.94"
"3/20/2025","3/20/2025","3/21/2025","","ACH Deposit","ACH","","","$10,000.00"
"3/18/2025","3/18/2025","3/19/2025","GOOGL","Alphabet Class A
CUSIP: 02079K305
Dividend Reinvestment","Buy","0.000063","$156.82","($0.01)"
"3/17/2025","3/17/2025","3/17/2025","GOOGL","Cash Div: R/D 2025-03-10 P/D 2025-03-17 - 0.045094 shares at 0.2","CDIV","","","$0.01"
"3/17/2025","3/17/2025","3/18/2025","NVDA","NVIDIA
CUSIP: 67066G104","Buy","0.99462","$120.65","($120.00)"
"3/17/2025","3/17/2025","3/18/2025","NVDA","NVDA 3/28/2025 Put $108.00","STO","1","$1.23","$122.94"
"3/17/2025","3/17/2025","3/18/2025","NVDA","NVDA 3/21/2025 Put $98.00","BTC","1","$0.09","($9.04)"
"3/17/2025","3/17/2025","3/18/2025","NVDA","NVIDIA
CUSIP: 67066G104","Sell","8.41475","$119.32","$1,004.06"
"3/11/2025","3/11/2025","3/12/2025","GOOGL","Alphabet Class A
CUSIP: 02079K305","Buy","0.03871","$165.60","($6.41)"
"3/11/2025","3/11/2025","3/12/2025","GOOGL","Alphabet Class A
CUSIP: 02079K305","Buy","6","$165.60","($993.59)"
"3/7/2025","3/7/2025","3/10/2025","NVDA","NVDA 3/21/2025 Put $98.00","STO","1","$1.46","$145.94"
"3/5/2025","3/5/2025","3/6/2025","","ACH Deposit","ACH","","","$2,000.00"
"3/4/2025","3/4/2025","3/5/2025","NVDA","NVIDIA
CUSIP: 67066G104","Buy","0.41475","$118.84","($49.29)"
"3/4/2025","3/4/2025","3/5/2025","NVDA","NVIDIA
CUSIP: 67066G104","Buy","8","$118.84","($950.71)"
"3/3/2025","3/3/2025","3/4/2025","","ACH Deposit","ACH","","","$10,000.00"
""
"","","","","","","","","","The data provided is for informational purposes only. Please consult a professional tax service or personal tax advisor if you need instructions on how to calculate cost basis or questions regarding your specific tax situation. Reminder: This data does not include Robinhood Crypto or Robinhood Spending activity."
